lemma	pos	def
-τός	suffix	Forms verbal adjectives, often expressing a completed or resultant state, and may overlap semantically with passive participles. | Forms verbal adjectives of possibility or suitability, either active or passive. | Forms ordinal and fractional numerals.
-τύς	suffix	Suffix forming nouns of action
-φάγος	combining_form	eater (of), eating
-φαγία	suffix	eating
-φανής	combining_form	Combining form used in adjectives of appearance
-φι	suffix	Creates a transnumeral case-form used with several different meanings: instrumental | Creates a transnumeral case-form used with several different meanings: locative | Creates a transnumeral case-form used with several different meanings: ablative, often with the prepositions ἐκ (ek) and ἀπό (apó) | Creates a transnumeral case-form used with several different meanings: (rare) genitive | Creates a transnumeral case-form used with several different meanings: (rare) dative
-φοβία	combining_form	-phobia
-φρων	combining_form	A stem found in adjectives relating to the mind or emotions.
-φυής	suffix	creates compound adjectives denoting growth in the manner indicated by the first term in the compound: -natured
-φωνος	suffix	sounding
-φόρος	suffix	-bearing
-χι	particle	(Epic) emphatic particle
-ω	suffix	ending of the first-person singular thematic present
-ω	suffix	forms adverbs from prepositions
-ωμα	suffix	a suffix indicating a structure or mass (especially pathological)
-ωμαι	suffix	first-person singular present middle/passive subjunctive of -ω (-ō)
-ων	suffix	Added to adjective stems to form comparative forms
-ων	suffix	Added to nouns to form possessive derivatives
-ων	suffix	Added to adjectives to form nominalisations
-ωνται	suffix	third-person plural present middle/passive subjunctive of -ω (-ō)
-ως	suffix	Added to the stem of adjectives or pronouns to form adverbs
-ως	suffix	(unproductive) Added to verbal roots to form a noun of result or an abstract noun of action.
-ωσις	suffix	indicating a transformative action
-ός	suffix	Forms agentive or patientive adjectives and nouns from the o-grade of a verbal root.
-όω	suffix	Added to a noun or adjective to make a verb with a causative or factitive meaning: to make someone do or be something.
-ύνω	suffix	Forms factitive verbs from u-stem adjectives | Forms factitive verbs from s-stem abstract nouns, previously ones that had u-stem adjectives | Forms factitive verbs from o-stem adjectives
-ώ	suffix	suffix forming female given names
-ώδης	suffix	forms adjectives from nouns (strictly) smelling of | forms adjectives from nouns (loosely) full of; like
-ώμεθα	suffix	second-person plural present middle/passive subjunctive of -ω (-ō)
-ών	suffix	(applied to noun stems) forms words for places (of humans) apartment or quarters | (applied to noun stems) forms words for places (of animals) stable or cote | (applied to noun stems) forms words for places (of vegetation) plantation or grove | (applied to noun stems) forms words for places (of objects) storage room
-ώνη	suffix	Added to the names of people to form a feminine patronym: daughter of
-ώς	suffix	perfect active participle ending
-ώτης	suffix	Suffix used to form various kinds of nouns, including demonyms and other nouns referring to types of persons
-ϳω	suffix	builds a verb stem either from a root or from a nominal. Both the reflex of ϳ and the thematicization, which together constitute this suffix, are omitted in the aorist and perfect stem
