lemma	pos	def
σέσιλος	noun	land snail
σέσοψ	noun	(hapax legomenon) fish
σέσυφος	adj	Hesychius gives the definition as: πανοῦργος (panoûrgos, “knavish, villainous”).
σήθω	verb	to sieve, sift, bolt, strain
σήκωμα	noun	weight in the balance, counterpoise, counterweight | makeweight | standard measure of wine | return, recompense
σήμερον	adv	today
σήπιον	noun	cuttlefish bone | pounce, kind of fine powder
σήπω	verb	(active voice) to make rotten or putrid (figuratively) to corrupt, waste | (passive voice) to rot, moulder (of tissue) to die
σήρ	noun	silkworm
σήραμβος	noun	Hesychius gives the definition as: εἶδος κανθάρου (eîdos kanthárou, literally “kind of beetle”).
σής	noun	moth
σήσαμον	noun	sesame
σήψ	noun	(feminine) putrefying sore | (masculine) a serpent, the bite of which causes intense thirst | (masculine) a kind of lizard
σίαλον	noun	spittle; saliva | synovial fluid
σίαλος	noun	porker, fat pig | fat, grease
σίγλος	noun	shekel, an ancient unit of weight | shekel, a currency used in ancient Israel | earring
σίγνον	noun	signum, statue | (in the plural) place where the standards were set up in a camp or kept in administrative headquarters | (in the plural, figurative) arrest, prison
σίδαιον	adj	Hesychius gives the definition as: ἑτεροκλινές (heteroklinés, “leaning to one side, uneven”).
σίδη	noun	pomegranate (tree and fruit) | kind of waterplant growing near Orchomenus, water lily
σίδηρος	noun	iron tool; iron implement | sword | sickle | blacksmith's shop; smithy | (figurative) a symbol of: hardness | (figurative) a symbol of: firmness | (figurative) a symbol of: relentlessness
σίδιον	noun	pomegranate-peel
σίδριμνον	adj	Hesychius gives the definition as: εὔζωνον (eúzōnon, “well-girdled”).
σίζω	verb	to hiss, especially of the noise made by plunging hot metal into cold water, to which is compared the hissing of the Cyclops' eye when the burnt stake was thrust into it
σίκερα	noun	A fermented liquor, a strong drink
σίκυος	noun	cucumber (Cucumis sativus)
σίκυος ἄγριος	noun	squirting cucumber; Ecballium elaterium
σίλβη	noun	Hesychius' gives the definition as: cake made of barley, sesame and poppyseeds.
σίλλυβον	noun	milk thistle (Silybum marianum)
σίλουρος	noun	wels catfish (Silurus glanis)
σίλφη	noun	cockroach (Blattella germanica)
σίλφιον	noun	laserwort; silphium; silphion
σίμβλος	noun	beehive, hive | (figuratively) store, hoard
σίναπι	noun	the mustard plant (Sinapis alba)
σίνομαι	verb	to harm; to hurt; to damage | (in general) to injure | to plunder; to pillage; to waste
σίντης	noun	ravening, predation | pillager, looter, spoiler
σίνων	noun	stone parsley (Sison amomum)
σίον	noun	water parsnip (Sium suave)
σίπυδνος	noun	(Koine, poetic, humorous) synonym of σῐπῠ́η (sĭpŭ́ē, “meal-tub”)
σίραιον	noun	boiled down new wine, often used as a syrup
σίραμφος	noun	Hesychius gives the definition as: ῥύγχος (rhúnkhos, “snout; beak”).
σίσαρον	noun	parsnip (Pastinaca sativa)
σίσυρνα	noun	garment of skin
σίσυς	noun	any coarse or cheap garment
σίτινος	adj	of grain or corn
σίτλα	noun	bucket, pail
σίττη	noun	nuthatch (Sitta europaea)
σίττυβος	noun	cauldron similar to a caccabus
σίφων	noun	tube, pipe | siphon, used for drawing wine out of the cask | drainage tube for hydrocele | service pipe for water in houses | waterspout from the gutters of the roof
σαίνουρος	adj	tail-wagging
σαίνω	verb	(of dogs) to wag the tail, fawn | (figuratively) to fawn, cringe, crouch | to fawn on, pay court to, greet | to gladden, especially with hope or conviction | to beguile, cozen, deceive
σαίρω	verb	(transitive) to sweep, clean | (figuratively) to clear away
σαβάζω	verb	shake violently, scatter
σαβακός	adj	(of inner organs) damaged, rotten | feeble, effeminate, womanish
σαβαχθανι	verb	you have forsaken me (said by Jesus on the cross)
σαββατισμός	noun	(The / A) keeping of the Sabbath, Sabbath-keeping, Sabbathkeeping, Sabbath rest, Sabbath resting, Sabbath observance, observance of the Sabbath.
σαγάπηνον	noun	Ferula persica | sagapenum, the gum produced by this plant
σαγή	noun	pack, baggage | scrip, wallet, knapsack | (in general) equipment, harness, furniture
σαγήνη	noun	large dragnet, seine | hunting net
σαγγάδης	noun	Persian word for messenger
σαγηνευτής	noun	one who fishes with a drag-net
σαγηνεύω	verb	to take fish with a drag-net
σαγηνοβόλος	noun	fisherman, one who casts the seine
σαγματοπασμαγάδια	noun	(Byzantine, plural only) saddle and welding blanket
σαγύριον	noun	Hesychius gives the definition as: ἄρτου κλάσμα (ártou klásma, literally “bread morsel”).
σαθρός	adj	unsound, diseased | impotent | cracked (of a vessel)
σακκοπήρα	noun	knapsack, wallet
σακχυφάντης	noun	one who weaves sackcloths, sailmaker
σαλάμβη	noun	venthole, chimney
σαλαγή	noun	noise, outcry
σαλαμάνδρα	noun	fire salamander (Salamandra salamandra)
σαλεύω	verb	to shake up, agitate | (passive voice) to be shaken, swayed, unsettled
σαμαίνω	verb	Doric and Pamphylian form of σημαίνω (sēmaínō)
σαμβύκη	noun	sambuca, a triangular musical instrument with four strings | sambuca, an engine of similar form used in sieges
σαμψήρα	noun	kind of sword, shamshir
σαμψούχινος	adj	of marjoram
σανίς	noun	board; plank; timber (in the plural) folding doors | board; plank; timber wooden platform; scaffold or stage | board; plank; timber ship's deck | board; plank; timber bench; seat | board; plank; timber lid of box | board; plank; timber (in the plural) wooden tablets for writing on | board; plank; timber plank to which offenders were bound or nailed
σανδάλιον	noun	a light strap-shoe, sandal | (Byzantine) a kind of vessel in the Byzantine fleet, sandal
σανδαλοθήκη	noun	A sandal case
σανδαράκη	noun	sandarac, realgar | red orpiment | beebread; sandarac (bee pollen with added honey and bee secretions, stored in brood cells)
σανδαράκινος	adj	of orange color
σανδύκινος	adj	red, vermilion
σαντάλινος	adj	made of sandalwood
σαπάνα	noun	scarlet pimpernel (Anagallis arvensis)
σαπέρδης	noun	kind of fish found in the Nile and in the Black Sea
σαπρία	noun	decay, decayed matter
σαπρός	adj	rotten, putrid
σαπφείρινος	adj	of or like sapphire
σαράβαρα	noun	loose trousers worn by Scythians
σαργάνη	noun	plait, braid | plaited basket
σαργός	noun	sargo (Diplodus sargus)
σαργῖνος	noun	kind of gregarious fish
σαρδάνιος	adj	(of laughter or smiles) scornful, bitter, grim
σαρδόνυξ	noun	sardonyx
σαρκάζω	verb	to gnash | to tear or lacerate flesh | to bite one's lip in anger | (figuratively) to tear apart with sarcasm
σαρκασμός	noun	bitter irony | sarcasm
σαρκοκήλη	noun	(oncology) sarcocele, a fleshy excrescence on the testicles
σαρκοκηλικός	adj	afflicted with sarcocele
σαρκοκόλλα	noun	sarcocolla (Persian resin used in traditional medicine and paint manufacture) | milkvetch (flowering shrubs of the genus Astragalus, particularly A. sarcocolla, source of the resin)
σαρκολαβίς	noun	(surgery) surgeon's forceps
σαρκοφάγος	adj	flesh-eating, carnivorous
σαρκοφάγος	noun	sarcophagus
σαρκόμφαλον	noun	(anatomy) fleshy excrescence on the navel
σαρκόπυον	noun	purulent flesh
σαρκώδης	adj	fleshy
σαρμός	noun	Hesychius gives the definition as: σωρός γῆς (sōrós gês, literally “heap of earth”), κάλλυσμα (kállusma, “sweeping”), ψάμμος (psámmos, “sand”), χόρτος (khórtos, “farmyard; fodder, provender”).
σαρωνίς	noun	old hollow oak
σαστήρ	noun	(hapax legomenon) The meaning of this term is uncertain.
σατίνη	noun	(in the plural) chariot
σαταρίς	noun	woman's headdress
σατράπης	noun	a satrap, title of a Persian viceroy or governor of a province (satrapy) | In general, of any governor or lord
σατραπεία	noun	satrapy, office or province of a satrap
σατυρίασις	noun	satyriasis | a disease involving swelling around the temples, causing the victim to resemble a satyr
σατυρίσκος	noun	(botany) the name of a plant
σατύριον	noun	man orchid (Orchis anthropophora) | kind of shrew
σαυκρόν	adj	Hesychius gives the definition as: ἁβρόν (habrón, “delicate”), ἐλαφρόν (elaphrón, “light”), ἄκρον (ákron, “high”).
σαυκός	adj	(at Syracuse) dry
σαυρίτης	noun	kind of serpent | gem found in the belly of the lizard
σαυροκτόνος	adj	lizard-killer (epithet of Apollo)
σαυρωτήρ	noun	ferrule or spike at the butt end of a spear, by which it was stuck into the ground
σαφής	adj	(of something seen) clear; distinct | (of a person) speaking clearly; reliable
σαφῶς	adv	clearly; distinctly
σαόω	verb	(Epic) synonym of σῴζω (sōízō, “to save”)
σαύνιον	noun	javelin | (figuratively) membrum virile | Samnites
σαύρα	noun	lizard
σαῦλος	adj	straddling, waddling | loose, wanton (of the gait of courtesans) | prancing (of a horse)
σαῦρος	noun	horse mackerel, jack mackerel
σαῦσαξ	noun	a kind of leguminous plant
σβέννυμι	verb	(transitive) to quench, extinguish, put out to dry up | (transitive) to quench, extinguish, put out to quench, quell, check | (passive voice, intransitive) to be quenched, to go out to dry up | (passive voice, intransitive) to be quenched, to go out to be quelled, lulled
σβεστός	adj	quenched, extinguished
σείσων	noun	earthen vessel in which beans where shaken while being roasted
σείω	verb	(transitive) to shake (of earthquakes) | (transitive) to shake (figuratively) to disturb, agitate | (transitive) to shake (Attic) to blackmail | (passive voice, intransitive) to shake to move to and fro | (middle voice) to shake to shake oneself
σεαυτοῦ	pron	thyself, yourself
σεβάζομαι	verb	to fear, be afraid | to honour religiously, to worship | (post-Homeric) synonym of σέβομαι (sébomai)
σεβένινος	adj	made of palm fibre
σεβένιον	noun	palm fibre
σεβίζω	verb	to worship, honour
σεβαστοκράτωρ	noun	(Byzantine) august ruler, a senior court title (mostly restricted to those of imperial descent) in the late Byzantine empire and some bordering states
σεβαστός	adj	(Koine, Byzantine) venerable, reverend, revered, august
σειρά	noun	cord, rope | (Koine) chain
σειρέω	verb	to desiccate, dry
σεισμός	noun	shaking; shock | earthquake | storm | agitation; commotion
σελάτης	noun	snail with a spiral shell
σελήνη	noun	moon | month | a moon-shaped cake | type of plant
σελίαρ	noun	Hesychius' gives the definition as: φοῖνιξ (phoînix, “purple or crimson; date palm”).
σελίνινος	adj	made of celery
σελίς	noun	(architecture) crossbeam of stone in ceiling construction | block or sector of seats in a theater | rowing bench | column of writing in a papyrus roll | writing page
σεληνίτης	noun	moonstone | (in the plural) inhabitants of the Moon
σεληνιακός	adj	of or for the moon, lunar | epileptic
σελινῖτις	noun	ground ivy (Glechoma hederacea)
σεμίδαλις	noun	the finest wheaten flour
σεμνολογία	noun	boasting; impressiveness
σεμνός	adj	revered, august, holy | solemn, pompous
σενδούκη	noun	A box
σεπτός	adj	(Koine, Byzantine) august
σεράφ	noun	(Koine, chiefly in the plural) seraph
σεραπιάς	noun	Italian orchid (Orchis italica)
σεργοί	noun	(hapax legomenon) deer
σεύω	verb	to chase, drive, impel | (middle voice) to rush, hasten, hurry
σεῖσμα	noun	A shaking
σεῖστρον	noun	sistrum
σεῖφα	noun	(hapax legomenon) Hesychius gives the definition as: σκοτία (skotía, “darkness, gloom”), as they say in Crete.
σηκός	noun	pen, fold, especially for rearing lambs, kids and calves | sacred enclosure, precinct, dedicated to a hero | sepulchre, burial place, enclosed and consecrated | stump of an old olive tree | weight in the balance
σηκόω	verb	to weigh against | to balance, equalize | to compensate
σημαίνω	verb	to show, point out, indicate to sign, signal | to show, point out, indicate Ι predict, portend | to show, point out, indicate (later prose) to appear | to signal someone to do something, to bid | to signify, indicate, declare to interpret, explain; to tell, speak | to signify, indicate, declare to signify, mean | (middle voice) to conclude from signs, conjecture | (middle voice) to provide with a sign, mark, or seal to mark out for oneself
σημαντικός	adj	significant, giving signs
σημασία	noun	the giving of a signal or command | indication, designation (frequently in grammar) meaning, signification the title of a work by Chrysippus | indication, designation (music) notation | the decisive appearance of a disease | a mark of the Nile-flood | address of a correspondent | (in the phrase βασιλικὴ σημασία) a royal insigne or appearance
σημεία	noun	a military standard, an ensign, a signum militare a military standard as a decoration, translating the Latin vēxillum | a military standard, an ensign, a signum militare a body of troops under one standard, translating the Latin manipulus | an image of the Emperor on a standard, translating the Latin signum | a (heraldic) device or bearing on an ἀσπίς (aspís, “shield”) | (meaning uncertain) perhaps a milestone
σημείωμα	noun	records
σημείωσις	noun	indication, notice | inference from a sign (medicine) a remarking or observing of symptoms | inference from a sign (medicine, later) an examination | a visible sign or token, as a banner
σημειωτικός	adj	observant of signs
σημειόω	verb	to mark, stamp | to seal (e.g. letters) | to signal | (middle voice) to take notice of, honor | (middle voice) to interpret as a sign or portent, infer as from a sign | (middle voice, medicine) to diagnose, examine | (middle voice) to note (for oneself)
σημερινός	adj	of today; today's
σημεῖον	noun	a mark; a sign; a token; a indication | a tomb | an omen (sign from the gods) wonder; portent | flag signal | standard or flag body of troops under one standard or flag | (heraldry) device upon a shield or ship; figurehead | signet on ring; figure; image | watchword; warcry | birthmark or distinguishing feature | (logic) a proof | (logic) a sign used as a probable argument in proof of a conclusion | (geometry) a point | (medicine) symptom | (medicine) a kind of skin eruption | (in the plural) shorthand symbols | critical mark | (mathematics) mathematical point | point of time; instant | (music, prosody) unit of time
σημύδα	noun	The meaning of this term is uncertain. Possibilities include: Judas tree (Cercis siliquastrum) | The meaning of this term is uncertain. Possibilities include: silver birch (Betula pendula)
σηπία	noun	cuttlefish
σηπτικός	adj	putrefactive, septic
σηρικός	adj	silken, made of silk or like silk
σησάμινος	adj	made of sesame
σησαμοειδές	noun	fruit of the Lenten rose (Helleborus orientalis) | purple rock cress (Aubrieta deltoidea) | bastard rocket (Reseda alba)
σητάνιον	noun	medlar (Mespilus germanica)
σητόδοκις	noun	butterfly
σθένεος	noun	genitive singular uncontracted of σθένος (sthénos)
σθένος	noun	strength, might, power
σθενής	adj	strong, mighty
σθεναρός	adj	strong, mighty | intense, violent
σιαγών	noun	(anatomy) jaw, jawbone, maxilla
σιβύνη	noun	hunting spear, pike
σιγάω	verb	to be silent, to be still (figuratively) | (transitive) to hold silent, keep secret
σιγή	noun	silence | undertone, whisper
σιγαλόεις	adj	(Epic) shining, glittering, glistening
σιγμοειδής	adj	shaped like the lunate sigma (which resembles the English C); semicircular, crescent-shaped
σιγύνης	noun	hunting spear
σιγῇ	adv	silently
σιδήρεος	adj	made of iron or steel
σιδεύνης	noun	(in Laconia) boy in his fifteenth or sixteenth year
σιδηρίσκος	noun	a type of medical instrument; perhaps a spatula
σιδηρίτης	noun	of iron, made of iron, done with iron | (mineralogy) a precious stone | (botany, Hellenistic senses) name of various plants for sense "ironwort" see σῐδηρῖτῐς f (sĭdērîtĭs) | (botany, Hellenistic senses) name of various plants also see the plants ἑλξίνη (helxínē), χαμαίπιτυς (khamaípitus), περιστερεὼν ὕπτιος (peristereṑn húptios)
σιδηροθήκη	noun	armoury
σιδηροτρύπανον	noun	iron borer
σιδηρουργεῖον	noun	iron-mine
σιδηρουργός	noun	ironsmith, blacksmith
σιδηροφορέω	verb	to bear arms, be armed
σιδηρόχαλκος	adj	of iron and copper
σιδηρῖτις	noun	ironwort (Sideritis romana)
σικχός	noun	squeamish, fastidious person, especially in eating
σικύα	noun	bottle gourd (Benincasa hispida, syn. Lagenaria vulgaris) | round gourd (Cucurbita maxima) | gourd used as a calabash | cupping-instrument, because it was shaped like a gourd
σιληνός	name	(Greek mythology) a silen
σιμίκιον	noun	kind of musical instrument of thirty-five strings
σιμός	adj	snub-nosed, flat nosed | steep, uphill | bent in, hollow, concave
σιμότης	noun	the shape of a snub nose, snubbiness
σινάπινος	adj	made of mustard
σινδών	noun	muslin | something made of muslin: garment; apparel (used of items worn as clothing or as a body-covering wrap) | something made of muslin: burial shroud
σιπταχόρας	noun	lac-tree (Schleichera oleosa)
σιπύη	noun	meal-tub
σιρομάστης	noun	pit-searcher, i.e. a probe or gauge, with which tax-gatherers searched corn-pits and magazines, used in war to try whether there were pits in the ground | barbed lance of the same shape
σιρός	noun	pit for storing grain | pitfall
σισύμβρινος	adj	made of hartwort
σισύμβριον	noun	water mint (Mentha aquatica) | watercress (Nasturtium officinale) | woman's ornament
σισύρα	noun	cloak made of goat's hair | coverlet for the night
σιτάριον	noun	a little bit of corn or bread
σιτίον	noun	grain; corn | bread; food made from grain | provisions; victuals | food for dogs | feces
σιτοθήκη	noun	A granary
σιτοποιΐα	noun	bread-making; preparation of food
σιτοφάγος	adj	eating corn or bread
σιτώνιον	noun	public granary, storehouse or wheat-fund | money for the purchase of corn, as part of a soldier's pay | (economics) name of a tax, probably levied to provide corn money
σιφλός	adj	crippled, maimed, lame | mad, foolish, blinded | porous, spongy, hollow
σιφνιάζω	verb	(literal) to act like a person from the island of Siphnos | to engage in elaborate musical performances resembling those of Philoxenides of Siphnos | (vulgar) to touch someone's buttocks with one's finger
σιφνός	adj	Hesychius gives the definition as: κενός (kenós, “empty, void”).
σιωπάω	verb	to be silent or still (of bees) to be still | (transitive) to hold silent, keep secret, to not speak of | (middle voice) to make silent, silence
σιωπή	noun	silence | hush; calm
σιωπητικός	adj	taciturn
σιωπῇ	adv	silently; in silence
σιώπησις	noun	taciturnity (figuratively) a veil, covering
σκάζω	verb	to limp
σκάζων	verb	(nominalized, masculine, prosody) iambic verse with a spondee in the last place, a choliamb
σκάλα	noun	ladder | stairs | gangway
σκάλλω	verb	to stir up, hoe | (figuratively) to search, probe
σκάλμη	noun	A short sword, a knife
σκάλοψ	noun	mole (animal of the family Talpidae)
σκάνδαλον	noun	trap, snare | enticement, temptation | offense, scandal | stumbling block
σκάνδιξ	noun	Venus' comb, shepherd's needle (Scandix pecten-veneris)
σκάπτω	verb	to dig, delve, for cultivation | to dig about, cultivate by digging
σκάριφος	noun	planing | writing | drawing
σκάρος	noun	parrotfish
σκάρφη	noun	black hellebore (Helleborus niger)
σκάφη	noun	bowl, tub, basin, bath | light boat, skiff | cradle | grave | concave sundial
σκάφος	noun	(nautical) hull of a ship | (in general) ship itself | (anatomy) hollow of the external ear
σκέλλω	verb	to dry up; to parch
σκέλος	noun	(anatomy) leg
σκέπανος	noun	kind of tunny
σκέπαρνον	noun	carpenter's axe, adze, for hewing and smoothing the trunks of trees | (medicine) slightly oblique surgical bandage
σκέπας	noun	covering; shelter
σκέπασμα	noun	covering (of clothing) | (botany) covering membrane in plants
σκέπη	noun	cover, shelter | shade | protection
σκέπτομαι	verb	to look at, examine | to examine, consider, think (rarely) to think, deem | to examine, consider, think to prepare, premeditate
σκέπω	verb	synonym of σκεπάζω (skepázō)
σκέρβολος	adj	scolding, abusive, vilifying, slandering
σκέψις	noun	viewing, sensory perception, observation | examination, speculation, consideration | (philosophy, chiefly Scepticism) doubt, hesitation | (politics) resolution, decree
σκήπτω	verb	to prop, stay, press one thing against or upon another (medium, passive voice) to prop oneself or lean upon a staff | to prop, stay, press one thing against or upon another (with accusative) to put forward by way of support, allege by way of excuse | to let fall upon, hurl, shoot (intransitive) to fall
σκίγγος	noun	skink, a kind of lizard
σκίδνημι	verb	to scatter, disperse
σκίλλα	noun	squill (the name of various plants of the genus Scilla, and particularly Drimia maritima)
σκίλλινος	adj	of squill
σκίμπους	noun	small couch, pallet, straw bed | kind of hammock used by invalids travelling
σκίναρ	noun	(anatomy) body
σκίουρος	noun	squirrel
σκίπων	noun	staff, stick, crutch
σκίρον	noun	parasol, canopy, held in processions in Skiron in honour of the goddess Athena Skiras
σκαίρω	verb	to frisk, frolic, skip, dance
σκαιός	adj	left, on or with the left hand | western, westward | unlucky, ill-omened, mischievous | awkward, clumsy, stupid | (of serpents) aslant, crooked
σκαιώρημα	noun	mischievous device
σκαλίας	noun	(botany) fruit shell of the artichoke
σκαλίδρις	noun	kind of speckled waterbird
σκαλίς	noun	hoe or shovel
σκαληνός	adj	uneven, unequal, rough, rugged, slanting | (mathematics, of numbers) odd | (geometry, of triangles) having unequal sides, scalene (geometry, of cones) oblique
σκαλμός	noun	pin or thole
σκαμβός	adj	crooked, bent | bow-legged
σκαμμωνία	noun	scammony
σκαμμώνιον	noun	synonym of σκαμμωνίᾱ (skammōníā): scammony
σκαμνίον	noun	(Byzantine) bench | (Byzantine) stool
σκανδάληθρον	noun	stick in a trap on which the bait is placed, and which, when touched by the animal, springs up and shuts the trap | (figuratively) setting word-traps during a discussion
σκανδαλίζω	verb	to snare, cause to stumble | to give offense
σκαπάνη	noun	spade, mattock, digging tool | spadework, digging
σκαπέρδα	noun	tug of war at the Dionysia
σκαπτός	adj	dug, that can be dug
σκατοφάγος	adj	feces-eating, coprophagous
σκαφεύς	noun	digger, delver
σκαφεῖον	noun	spade, hoe, mattock | concave mirror used as burning-glass
σκαφοειδής	adj	bowl-shaped, hollow
σκαῦρος	adj	(of a horse) possessing skewed or deviating hooves
σκεδάννυμι	verb	(active voice) to scatter, disperse
σκελετός	adj	dried up, withered
σκελετός	noun	dried body, mummy | (anatomy) skeleton
σκεπάζω	verb	to cover, shelter
σκεπάρνιον	noun	pier
σκεπτέον	adj	(adverbial use) it is to be discussed or investigated
σκεπτέος	adj	something that must be considered, noteworthy | someone who must consider
σκεπτικός	adj	thoughtful, inquiring | (philosophy, in the plural, substantive) a sceptic, a member of the school of thought founded by Pyrrho of Elis
σκευάζω	verb	to arrange, make ready, prepare | to collect | (passive voice) to furnish, supply | to cheat, cozen
σκευή	noun	equipment, attire, apparel, dress, trappings fashion, style of dress or equipment | tackle, as of a net or ship synonym of αἰδοῖον (aidoîon, “privy parts”, “pudenda”)
σκευοθήκη	noun	chest for all kinds of objects
σκευοφύλαξ	noun	storekeeper
σκευώρημα	noun	fabrication, fraud
σκεῦος	noun	a vessel or implement (in the plural) outfit, gear, utensils, chattels, equipment, baggage, luggage, tackle | a vessel or implement an inanimate object, a thing | the body, as the vessel of the soul | (euphemistic) genitalia
σκηνή	noun	tent | (theater) stage
σκηνογράφος	noun	scene-painter
σκηνογραφία	noun	scene painting | (figuratively) illusion
σκηνοθήκη	noun	A tent store
σκηνοπηγία	noun	construction of tents | (religious) Sukkot, the Feast of Tabernacles, and related holidays
σκηνοφύλαξ	noun	guard of tents, of a camp
σκηνόω	verb	to pitch tents, encamp | to dwell (originally, in a tent; later, generally) | to settle, take up one’s abode | (in the perfect passive) to live or be | to occupy with tents
σκηπτοῦχος	adj	bearing a staff, baton or sceptre, as the badge of command
σκηπτοῦχος	noun	wand-bearer, a great officer in the Persian court, generally a eunuch | (in Ephesus) beadle
σκηπτός	noun	thunderbolt, lightning strike | dust-storm, hurricane
σκηρίπτω	verb	to prop, fix, plant firmly | (mediopassive voice) to support oneself, uphold oneself
σκιά	noun	shadow | shade (shelter from the sun) | shade (spirit of someone dead)
σκιάδειον	noun	sunshade, parasol | sort of broad-brimmed hat | carriage with a tilt or hood | (botany) umbel of umbelliferous plants
σκιάζω	verb	to overshadow [with accusative ‘something’] | (painting) to shade [with accusative ‘something’]
σκιάς	noun	canopy or arbour, in form like a sunshade | (at Sparta) rotunda in which the assemblies of the people were held | (botany) umbel of plants
σκιάω	verb	to overshadow (literally), make shady [with accusative ‘something’]
σκιαγράφος	noun	perspective-painter, scene-painter
σκιαδηφόρος	noun	carrying a sunshade | (in general) shading, shady
σκιαμαχία	noun	a fighting against a shadow: esp. a form of exercise with hands and feet | (figurative) fighting with a shadow, mock fight, beating the air
σκιαστής	noun	(Laconian, epithet of Apollo) Skiastes; he who casts (a) shadow | a servant who carries an umbrella
σκιδαφή	noun	Hesychius gives the definition as: ἀλώπηξ (alṓpēx, “fox”).
σκιερός	adj	shady, giving shade, in the shade | dark coloured | faint
σκιμβός	adj	halt, lame
σκινδαψός	noun	musical instrument with four strings | word without meaning, so-and-so
σκιρτάω	verb	(of foals) to spring, leap, bound | (figuratively) to be skittish, unruly
σκιόεις	adj	(chiefly Epic) shady (causing shade)
σκλήρωσις	noun	hardening
σκληρός	adj	hard | harsh
σκληρότης	noun	hardness, rigidity | stubbornness | harshness, austerity
σκνίψ	noun	a kind of insect that infests fig and oak trees and devours the gallfly
σκοίκιον	noun	vessel or receptacle of some kind
σκολίωσις	noun	(Koine) obliquity, bending
σκολιός	adj	curved, bent | winding (of rivers and paths) | twisted, tangled | crooked, unjust, unrighteous | riddling, obscure
σκολοπένδριον	noun	hart's tongue (Asplenium scolopendrium)
σκολόπαξ	noun	woodcock (Scolopax rusticola)
σκολόπενδρα	noun	millipede the sea scolopendra, an animal from the genus Nereis
σκολύβρα	adj	(hapax legomenon) (according to Hesychius of Alexandria:) sullen, sad
σκοπέω	verb	to look, look at, behold; examine, inspect | (figuratively) to contemplate, consider | to look for | (middle voice) like active, perhaps implying a more deliberate consideration
σκοπή	noun	a vantage point, a lookout, a watchtower
σκοπιά	noun	lookout place | mountain peak | height or highest point of anything | watchtower | lookout (session of watching), watch (act of guarding)
σκοπός	noun	watcher, lookout | protector, guardian | spy, scout | mark, target | goal, aim
σκορπίζω	verb	scatter, disperse | disintegrate, reduce to powder | dissipate
σκορπίον	noun	jointfir (Ephedra distachya) | squirting cucumber (Ecballium elaterium)
σκορπίος	noun	scorpionfish (Scorpaena scrofa) | scorpion furze (Genista acanthoclada) | scorpion root (Doronicum orientale) | (astronomy) Scorpio, a constellation | engine of war which discharged arrows
σκορπίουρον	noun	heliotrope (Heliotropium europaeum)
σκορπιοειδές	noun	scorpion's-tail (Scorpiurus muricatus)
σκορπιοκτόνον	noun	kind of heliotrope (Heliotropium suaveolens)
σκοτία	noun	darkness, gloom | (architecture) scotia, cavetto, so called from the dark shadow it casts
σκοτεινός	adj	dark, obscure, dim | (figuratively) dark, obscure, secret
σκοτόω	verb	I blind | I stupefy | (passive voice) I am in vertigo
σκυδμαίνω	verb	to be angry, to rage, grumble
σκυλεύω	verb	to strip a slain enemy of his arms; to despoil | [with accusative and genitive] strip the arms off an enemy
σκυλοδεψέω	verb	to tan hides
σκυτάλη	noun	A staff, a cudgel, a club | (historical) A scytale, a baton used in Sparta as a cypher for writing dispatches | A pole or staff like those of a sedan chair | A strickle for levelling grain | A wooden tally or ticket on a money bag | A rod of metal or ivory | A scourge whip | A handle or lever in a machine | A handspike for turning a wheel | A sucker from a stem | A serpent of uniform roundness and thickness | (anatomy) A phalanx
σκυταλισμός	noun	clubbing, bludgeoning, cudgeling, the act or an instance of beating someone or something with a club (σκυτάλη), especially (historical) the Scytalism, the mass clubbing of wealthy Argives in 370 BC.
σκυτοτόμος	noun	leather-cutter, worker in leather | shoemaker, cobbler
σκωρία	noun	(Koine) slag, dross of metal, scoria
σκωραμίς	noun	nightstool; chamber pot
σκόλιον	noun	song which went round crookedly at banquets, being sung to the lyre by the guests one after another in irregular order
σκόλοψ	noun	a pale; a stake; a palisade | (medicine) an instrument for operating on the urethra | the point of a fishing hook
σκόλυβος	noun	Hesychius gives the definition as: ἐσθιόμενος βολβός (esthiómenos bolbós, literally “edible tassel hyacinth”).
σκόλυθρον	noun	stool
σκόλυμος	noun	common golden thistle (Scolymus hispanicus)
σκόμβρος	noun	mackerel (Scomber scombrus)
σκόμιον	noun	(architecture) projecting coping, eaves
σκόπελος	noun	lookout place | peak; headland, promontory | watchtower
σκόροδον	noun	garlic
σκόρπαινα	noun	scorpionfish
σκότος	noun	darkness; gloom the darkness of death | darkness; gloom the darkness of the netherworld | darkness; gloom the darkness of the womb | blindness | (figuratively) obscurity | (of a person) the mystery; ignorance; deceit | the dark part or shadow in a picture
σκύβα	noun	(hapax legomenon) (According to Hesychius of Alexandria:) charlock (Brassica arvensis)
σκύβαλον	noun	dung, excrement, manure | refuse, offal
σκύλαξ	noun	young dog, whelp, puppy dog | young dog, whelp, puppy (of other young animals) whelp | a chain, a chain or collar for the neck | (sex) a kind of erotic dance or sex position
σκύλιον	noun	dogfish
σκύλλω	verb	to tear apart, lacerate, flay, skin | (figurative) to molest, maltreat | to trouble, pester | to infest, plunder
σκύλος	noun	skin, hide
σκύμνος	noun	cub, whelp, especially a lion's whelp (poetic, of men or women)
σκύνιον	noun	skin above the eyebrows
σκύταλον	noun	synonym of σκυτάλη (skutálē)
σκύτη	noun	Hesychius gives the definition as: κεφαλή (kephalḗ, “head”).
σκύτινος	adj	leathern, made of leather | (figuratively) skin and bones, gaunt, scrawny
